feature,importance
soiling_impact,0.13376922467075067
power,0.09640091424536919
pressure_normalized_power,0.09298616359781584
panel_age,0.044247340092117116
humidity,0.01940711778002702
temperature,0.017931776452321177
irradiance,0.016488849701764716
soiling_ratio,0.0071694486629829985
module_temperature,0.00589994071967357
cloud_coverage,0.00542091039434243
power_irradiance_ratio,0.005363686436404121
voltage,0.00509081773452798
current,0.004576435700680102
environmental_stress,0.004196936499406631
wind_cooling_effect,0.0025030299370490845
wind_speed,0.0023214185208912524
temp_differential,0.0018798257860011345
performance_efficiency,0.0004756147364668527
pressure,0.0003493925621429401
humidity_temperature_interaction,0.0003089914691162786
soiling_degradation,0.00025884788653853457
age_efficiency_factor,0.00025884788653848947
maintenance_frequency,0.00012730173105492083
wind_chill_effect,7.8141652290936e-05
